"x","x","y"
"1955-07-25",0:00,0.935
"1955-07-25",1:00,0.940
"1955-07-25",2:00,0.941
"1955-07-25",3:00,0.947
"1955-07-25",4:00,0.950
"1955-07-25",5:00,0.952
"1955-07-25",8:00,0.953
"1955-07-25",9:00,0.952
"1955-07-25",10:00,0.949
"1955-07-25",11:00,0.946
"1955-07-25",12:00,0.943
"1955-07-25",13:00,0.940
"1955-07-25",14:00,0.930
"1955-07-25",15:00,0.925
"1955-07-25",16:00,0.919
"1955-07-25",17:00,0.915
"1955-07-25",18:00,0.913
"1955-07-25",19:00,0.910
"1955-07-25",20:00,0.909
"1955-07-25",21:00,0.908
"1955-07-25",21:30,0.9086
"1955-07-25",22:00,0.910
"1955-07-25",23:00,0.912
"1955-07-26",0:00,0.915
"1955-07-26",1:00,0.918
"1955-07-26",2:00,0.923
"1955-07-26",3:00,0.932
"1955-07-26",4:00,0.939
"1955-07-26",5:00,0.941
"1955-07-26",6:00,0.944
"1955-07-26",7:00,0.945
"1955-07-26",8:00,0.9465
"1955-07-26",9:00,0.9472
"1955-07-26",10:00,0.9475
"1955-07-26",10:30,0.9469
"1955-07-26",12:00,0.945
"1955-07-26",13:00,0.937
"1955-07-26",14:00,0.9215
"1955-07-26",15:00,0.906
"1955-07-26",16:00,0.899
"1955-07-26",17:00,0.890
"1955-07-26",18:00,0.882
"1955-07-26",19:00,0.880
"1955-07-26",20:00,0.8795
"1955-07-26",21:00,0.880
"1955-07-26",22:00,0.883
"1955-07-26",23:00,0.890
"1955-07-27",0:00,0.898
"1955-07-27",1:00,0.905
"1955-07-27",2:00,0.913
"1955-07-27",3:00,0.918
"1955-07-27",4:00,0.922
"1955-07-27",5:00,0.923
"1955-07-27",6:00,0.925
"1955-07-27",7:00,0.927
"1955-07-27",8:00,0.928
"1955-07-27",9:00,0.9286
"1955-07-27",10:00,0.929
"1955-07-27",11:00,0.928
"1955-07-27",12:00,0.927
"1955-07-27",13:00,0.918
"1955-07-27",14:00,0.905
"1955-07-27",15:00,0.900
"1955-07-27",16:00,0.888
"1955-07-27",17:00,0.880
"1955-07-27",18:00,0.877
"1955-07-27",19:00,0.872
"1955-07-27",20:00,0.872
"1955-07-27",21:00,0.875
"1955-07-27",22:00,0.880
"1955-07-27",23:00,0.888
"1955-07-28",0:00,0.898
"1955-07-28",1:00,0.902
"1955-07-28",2:00,0.910
"1955-07-28",3:00,0.915
"1955-07-28",4:00,0.920
"1955-07-28",6:00,0.925
"1955-07-28",7:00,0.928
"1955-07-28",8:00,0.931
"1955-07-28",9:00,0.9315
"1955-07-28",9:30,0.9305
"1955-07-28",10:00,0.930
"1955-07-28",11:00,0.927
"1955-07-28",12:00,0.923
"1955-07-28",13:00,0.917
"1955-07-28",14:00,0.906
"1955-07-28",15:00,0.900
"1955-07-28",16:00,0.895
"1955-07-28",17:00,0.890
"1955-07-28",18:00,0.888
"1955-07-28",19:00,0.887
"1955-07-28",20:00,0.888
"1955-07-28",21:00,0.889
"1955-07-28",22:00,0.892
"1955-07-28",23:00,0.895
"1955-07-29",0:00,0.904
"1955-07-29",2:00,0.914
"1955-07-29",3:00,0.916
"1955-07-29",4:00,0.916
"1955-07-29",5:00,0.922
"1955-07-29",6:00,0.924
"1955-07-29",7:00,0.926
"1955-07-29",8:00,0.929
"1955-07-29",9:00,0.9315
"1955-07-29",10:00,0.932
"1955-07-29",11:00,0.9315
"1955-07-29",12:00,0.93
"1955-07-29",13:00,0.926
"1955-07-29",14:00,0.922
"1955-07-29",15:00,0.919
"1955-07-29",16:00,0.915
"1955-07-29",17:00,0.912
"1955-07-29",18:00,0.909
"1955-07-29",19:00,0.908
"1955-07-29",20:00,0.908
"1955-07-29",21:00,0.909
"1955-07-29",22:00,0.910
"1955-07-29",23:00,0.911
"1955-07-30",0:00,0.915
"1955-07-30",1:00,0.918
"1955-07-30",2:00,0.922
"1955-07-30",3:00,0.923
"1955-07-30",4:00,0.926
"1955-07-30",5:00,0.927
"1955-07-30",8:00,0.9275
"1955-07-30",10:00,0.927
"1955-07-30",11:00,0.922
"1955-07-30",12:00,0.917
"1955-07-30",13:00,0.906
"1955-07-30",14:00,0.900
"1955-07-30",15:00,0.888
"1955-07-30",16:00,0.883
"1955-07-30",17:00,0.880
"1955-07-30",18:00,0.875
"1955-07-30",19:00,0.875
"1955-07-30",20:00,0.877
"1955-07-30",21:00,0.880
"1955-07-30",22:00,0.889
"1955-07-30",23:00,0.892
"1955-07-31",0:00,0.900
"1955-07-31",1:00,0.907
"1955-07-31",2:00,0.910
"1955-07-31",3:00,0.912
"1955-07-31",4:00,0.913
"1955-07-31",5:00,0.914
"1955-07-31",7:00,0.916
"1955-07-31",8:00,0.917
"1955-07-31",9:00,0.9175
"1955-07-31",10:00,0.917
"1955-07-31",11:00,0.916
"1955-07-31",12:00,0.910
"1955-07-31",14:00,0.900
"1955-07-31",18:00,0.879
"1955-07-31",19:00,0.871
"1955-07-31",20:00,0.870
"1955-07-31",21:00,0.873
"1955-08-01",0:00,0.900
